s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C
Time,TC_23,TC_20,TC_17,TC_14,TC_3,TC_22,TC_19,TC_16,TC_13,TC_11,TC_2,TC_21,TC_18,TC_15,TC_12,TC_10,TC_1,HF_10,HF_5,HF_9,HF_7,HF_4,HF_2,HF_8,HF_6,HF_3,HF_1,TC_32,TC_31,TC_30,TC_29,TC_28,TC_37,TC_36,TC_35,TC_34,TC_33
 1.9000311E+002, 1.3463455E+002, 5.1357639E+001, 5.7944993E+001, 6.2667574E+001, 6.4113902E+001, 2.4658686E+002, 2.2225981E+002, 2.2460769E+002, 2.1472430E+002, 1.9345500E+002, 1.3601847E+002, 2.7319450E+002, 1.8461473E+002, 2.0212279E+002, 2.1834749E+002, 2.3366035E+002, 2.1424489E+002, 8.4800347E-001, 6.2884999E-001, 4.4959730E+000, 4.1147056E+000, 3.7271575E+000, 3.1473266E+000, 2.6959219E+000, 2.8745323E+000, 3.1962253E+000, 3.7214306E+000, 5.2746073E+002, 6.1444872E+002, 6.6161258E+002, 6.6938493E+002, 6.7017121E+002, 3.8738029E+002, 4.8420985E+002, 5.3617559E+002, 5.4657763E+002, 5.4643470E+002
 2.0000248E+002, 1.3221081E+002, 4.9685085E+001, 5.5836839E+001, 6.1024049E+001, 6.5492278E+001, 2.3971730E+002, 2.1885096E+002, 2.1531331E+002, 2.0303991E+002, 1.8681493E+002, 1.3830933E+002, 2.7489142E+002, 1.8250470E+002, 2.0089468E+002, 2.1456382E+002, 2.2768045E+002, 2.0738301E+002, 8.8090936E-001, 6.7940327E-001, 4.2548493E+000, 3.6740557E+000, 3.2754821E+000, 2.8529868E+000, 2.7697922E+000, 3.0133610E+000, 3.2764148E+000, 3.6029714E+000, 5.3534479E+002, 6.1406149E+002, 6.6309758E+002, 6.7362352E+002, 6.7494074E+002, 3.9583354E+002, 4.9288279E+002, 5.4318247E+002, 5.5372675E+002, 5.5372434E+002
 2.1000082E+002, 1.3686637E+002, 5.0774566E+001, 5.7315051E+001, 6.2681006E+001, 6.8383559E+001, 2.4754310E+002, 2.1653304E+002, 2.0843204E+002, 1.9386343E+002, 1.8125323E+002, 1.4077659E+002, 2.8299485E+002, 1.8460110E+002, 2.0010656E+002, 2.1239860E+002, 2.2204299E+002, 2.1335989E+002, 8.2487933E-001, 6.3607414E-001, 4.3774405E+000, 3.7711827E+000, 3.2685751E+000, 2.8456372E+000, 3.0564706E+000, 3.1633761E+000, 3.3881896E+000, 3.6807890E+000, 5.3518070E+002, 6.1201974E+002, 6.7158366E+002, 6.8081169E+002, 6.8158845E+002, 4.0751753E+002, 4.9870116E+002, 5.4923878E+002, 5.5780922E+002, 5.5771330E+002
 2.2000109E+002, 1.3339324E+002, 4.8623420E+001, 5.5260395E+001, 6.1304130E+001, 6.7305675E+001, 2.4325553E+002, 2.0813642E+002, 2.0541739E+002, 1.9402197E+002, 1.8346379E+002, 1.4413983E+002, 2.8413007E+002, 1.8987475E+002, 2.0269126E+002, 2.1379625E+002, 2.2283447E+002, 2.1766571E+002, 8.7553684E-001, 5.9181211E-001, 4.2012463E+000, 3.8915538E+000, 3.7274707E+000, 3.4178564E+000, 3.0197852E+000, 3.1229498E+000, 3.3456370E+000, 3.6413528E+000, 5.3132148E+002, 6.2121793E+002, 6.7215425E+002, 6.8204902E+002, 6.8295252E+002, 4.1277131E+002, 4.9800835E+002, 5.5378553E+002, 5.6372256E+002, 5.6336294E+002
 2.3000202E+002, 1.3298460E+002, 4.9749397E+001, 5.5607122E+001, 6.0541953E+001, 6.8211926E+001, 2.5218881E+002, 2.1311601E+002, 2.1359712E+002, 2.0626353E+002, 1.9669396E+002, 1.5389663E+002, 2.8316233E+002, 1.9140837E+002, 2.0471380E+002, 2.1698578E+002, 2.2754003E+002, 2.2378123E+002, 9.1405640E-001, 6.5435886E-001, 4.9757706E+000, 4.5144147E+000, 4.0775869E+000, 3.4714409E+000, 2.9052530E+000, 3.1713120E+000, 3.5172547E+000, 3.9556098E+000, 5.2838475E+002, 6.1513386E+002, 6.8531291E+002, 6.9243105E+002, 6.9098646E+002, 4.1676735E+002, 5.0601589E+002, 5.5487777E+002, 5.6473394E+002, 5.6462523E+002
 2.4000251E+002, 1.3436750E+002, 5.0749002E+001, 5.4920795E+001, 5.8212782E+001, 6.7487603E+001, 2.5387313E+002, 2.1884939E+002, 2.1992485E+002, 2.1059391E+002, 1.9404845E+002, 1.5445867E+002, 2.7975194E+002, 1.9036640E+002, 2.0638631E+002, 2.1945275E+002, 2.3223213E+002, 2.2302731E+002, 8.9563777E-001, 5.9300610E-001, 4.6016010E+000, 4.2198949E+000, 3.7847782E+000, 3.1456706E+000, 2.8667198E+000, 2.9871781E+000, 3.2555771E+000, 3.7042262E+000, 5.3459278E+002, 6.2183189E+002, 6.8667052E+002, 6.9268963E+002, 6.9399503E+002, 4.1354775E+002, 5.0023843E+002, 5.6146234E+002, 5.7478050E+002, 5.7565655E+002
 2.5000141E+002, 1.3911196E+002, 5.0230256E+001, 5.3628948E+001, 5.8612217E+001, 7.0149591E+001, 2.6373199E+002, 2.2006644E+002, 2.1700126E+002, 2.1038408E+002, 1.9927773E+002, 1.5687836E+002, 2.8611737E+002, 1.9057836E+002, 2.0569168E+002, 2.1747665E+002, 2.2941709E+002, 2.2065902E+002, 9.2250182E-001, 7.0009243E-001, 4.6795665E+000, 4.1204472E+000, 3.8222371E+000, 3.6177677E+000, 3.0613412E+000, 3.3846379E+000, 3.5771196E+000, 4.0050715E+000, 5.4718271E+002, 6.2545498E+002, 6.8216885E+002, 6.9165125E+002, 6.9315012E+002, 4.0606765E+002, 5.0354414E+002, 5.6503819E+002, 5.7761958E+002, 5.7764956E+002
 2.6000037E+002, 1.4871676E+002, 5.0395535E+001, 5.3632890E+001, 5.8819207E+001, 7.1669879E+001, 2.7267793E+002, 2.2361993E+002, 2.1808600E+002, 2.1031875E+002, 2.0260008E+002, 1.5504769E+002, 2.8464328E+002, 1.9163296E+002, 2.0922813E+002, 2.2228528E+002, 2.3403860E+002, 2.1764582E+002, 9.8527039E-001, 7.1339985E-001, 4.6058252E+000, 4.0752952E+000, 3.6635833E+000, 3.3050127E+000, 3.0737043E+000, 3.1931211E+000, 3.5803364E+000, 4.0050261E+000, 5.4773230E+002, 6.2316291E+002, 6.8619070E+002, 6.9362100E+002, 6.9467364E+002, 4.1099745E+002, 4.9911068E+002, 5.6473094E+002, 5.7643750E+002, 5.7611929E+002
 2.7000023E+002, 1.5041020E+002, 5.8122766E+001, 5.9840512E+001, 6.5316014E+001, 7.1134700E+001, 2.8004133E+002, 2.3607961E+002, 2.2923598E+002, 2.1971884E+002, 2.0711403E+002, 1.5389064E+002, 2.8504629E+002, 1.9428096E+002, 2.1253461E+002, 2.2730127E+002, 2.3740709E+002, 2.2205831E+002, 1.0561690E+000, 7.6525128E-001, 5.2228404E+000, 4.7179466E+000, 4.2043190E+000, 3.5288441E+000, 3.1884534E+000, 3.3988204E+000, 3.7341007E+000, 4.1147930E+000, 5.4192800E+002, 6.2260408E+002, 6.9483350E+002, 7.0189637E+002, 7.0325859E+002, 3.9612522E+002, 4.7305635E+002, 5.5970408E+002, 5.7182585E+002, 5.7169196E+002
 2.8000369E+002, 1.3989956E+002, 5.9377825E+001, 5.9356596E+001, 6.3972057E+001, 7.2009652E+001, 2.7479200E+002, 2.4008054E+002, 2.3499616E+002, 2.2446261E+002, 2.0591996E+002, 1.5402238E+002, 2.9043702E+002, 1.9697225E+002, 2.1951713E+002, 2.3279653E+002, 2.4128462E+002, 2.1991515E+002, 9.6476065E-001, 6.4856533E-001, 4.7557450E+000, 4.3427249E+000, 4.0863927E+000, 3.6781737E+000, 3.1842879E+000, 3.5587687E+000, 3.7696153E+000, 4.1144999E+000, 5.5268899E+002, 6.3657468E+002, 6.9835999E+002, 7.0619436E+002, 7.0627399E+002, 3.9170801E+002, 4.8649203E+002, 5.6733499E+002, 5.7849656E+002, 5.7828768E+002
 2.9000288E+002, 1.4020842E+002, 5.6530266E+001, 5.7609950E+001, 6.2635161E+001, 7.4233128E+001, 2.6845707E+002, 2.3539947E+002, 2.3299412E+002, 2.2523800E+002, 2.1104248E+002, 1.6152812E+002, 2.9320058E+002, 1.9786039E+002, 2.2011187E+002, 2.3329012E+002, 2.4419942E+002, 2.2247086E+002, 9.0105735E-001, 6.2468252E-001, 5.2452422E+000, 4.6943483E+000, 4.1980994E+000, 3.5740025E+000, 3.3003667E+000, 3.5990855E+000, 3.9499389E+000, 4.5574543E+000, 5.7594913E+002, 6.4971765E+002, 6.9341907E+002, 7.0073953E+002, 7.0162991E+002, 4.0999080E+002, 5.0641468E+002, 5.7468031E+002, 5.8527499E+002, 5.8523564E+002
 3.0000295E+002, 1.5104161E+002, 5.5538042E+001, 5.7854022E+001, 6.1316389E+001, 7.3114261E+001, 2.7869546E+002, 2.3783627E+002, 2.3659696E+002, 2.2800934E+002, 2.0962852E+002, 1.5949747E+002, 2.9407137E+002, 1.9874911E+002, 2.1953600E+002, 2.3498767E+002, 2.4873910E+002, 2.2148943E+002, 9.8180169E-001, 7.0238128E-001, 4.7369450E+000, 4.2334430E+000, 3.8660690E+000, 3.4800451E+000, 3.2692776E+000, 3.3977478E+000, 3.7703822E+000, 4.2054102E+000, 5.7025888E+002, 6.4399644E+002, 7.1460683E+002, 7.2821828E+002, 7.2409977E+002, 4.2227387E+002, 5.0847324E+002, 5.7323388E+002, 5.8373576E+002, 5.8407858E+002
 3.1000197E+002, 1.5142541E+002, 5.3974240E+001, 5.8153515E+001, 6.1779423E+001, 7.4748619E+001, 2.6958224E+002, 2.3307736E+002, 2.2983881E+002, 2.2420130E+002, 2.0638021E+002, 1.5355232E+002, 2.9363983E+002, 2.0304520E+002, 2.2081476E+002, 2.3597421E+002, 2.4812369E+002, 2.2463188E+002, 8.6288028E-001, 6.2678269E-001, 4.2584603E+000, 3.8161871E+000, 3.6704762E+000, 3.3602561E+000, 2.9257787E+000, 3.1802578E+000, 3.5158694E+000, 3.9852215E+000, 5.4823923E+002, 6.2936069E+002, 6.9636695E+002, 7.0165815E+002, 7.0253881E+002, 4.0872855E+002, 5.0164327E+002, 5.7040828E+002, 5.8162298E+002, 5.8248723E+002
 3.2000187E+002, 1.4391891E+002, 5.3291019E+001, 5.7371414E+001, 6.0154389E+001, 7.0925407E+001, 2.6352707E+002, 2.2340643E+002, 2.2201644E+002, 2.2111022E+002, 2.0826700E+002, 1.5252506E+002, 2.8656351E+002, 1.9300904E+002, 2.0772452E+002, 2.2181887E+002, 2.3363692E+002, 2.1808372E+002, 6.4015584E-001, 5.0850995E-001, 3.7344577E+000, 3.4922296E+000, 3.3587332E+000, 3.1023948E+000, 2.1519012E+000, 2.3462403E+000, 2.6510107E+000, 3.1384640E+000, 4.8723096E+002, 5.5656787E+002, 6.3089233E+002, 6.3551034E+002, 6.3748299E+002, 3.5636979E+002, 4.2446742E+002, 5.3506582E+002, 5.4687401E+002, 5.4873940E+002
 3.3000032E+002, 1.2258377E+002, 5.1611977E+001, 5.5773725E+001, 5.9456126E+001, 6.9605600E+001, 2.3800670E+002, 2.1485354E+002, 2.1133699E+002, 2.0888545E+002, 1.9509733E+002, 1.4288183E+002, 2.6834081E+002, 1.7348467E+002, 1.8738078E+002, 1.9969845E+002, 2.0923509E+002, 1.9531474E+002, 3.0312215E-001, 2.9316562E-001, 2.1127789E+000, 2.0873382E+000, 2.1966739E+000, 2.2056765E+000, 1.3989147E+000, 1.6064277E+000, 1.8382451E+000, 2.1177678E+000, 3.8441320E+002, 4.2455855E+002, 4.9377642E+002, 5.1651605E+002, 5.2494363E+002, 2.7496397E+002, 3.1118061E+002, 4.6592308E+002, 4.8296894E+002, 4.8896281E+002
